Portfolio,Current Holding,Holding Name,Holding Sector,Holding Quant,Holding Score,Holding Val,Holding Growth,Holding Profit,Holding Mom,Holding Rev,Holding Analyst,Holding Upside,Holding FSI,Alt Ticker,Alt Name,Alt Quant,Alt Score,Alt Val,Alt Growth,Alt Profit,Alt Mom,Alt Rev,Alt Analyst,Alt Upside,Alt Div Yield,Alt FSI,Score Diff
Power,CIEN,Ciena Corporation,Technology,Buy,3.59,D+,A,C+,A+,A-,Buy,-3.9%,,ADEA,Adeia Inc.,Buy,3.98,B,A,A,A,C,Strong Buy,+32.3%,87.0%,,0.39
Power,CIEN,Ciena Corporation,Technology,Buy,3.59,D+,A,C+,A+,A-,Buy,-3.9%,,SNDK,Sandisk Corporation,Buy,3.92,C+,A+,C+,A+,A,Buy,+23.0%,0.0%,,0.33
Power,DY,"Dycom Industries, Inc.",Industrials,Hold,3.11,C+,B-,C+,B+,B+,Strong Buy,+29.2%,FSI-SM,FIX,"Comfort Systems USA, Inc.",Buy,3.72,D+,A,B+,A+,B-,None,+23.5%,16.0%,FSI-SM,0.61
Power,DY,"Dycom Industries, Inc.",Industrials,Hold,3.11,C+,B-,C+,B+,B+,Strong Buy,+29.2%,FSI-SM,FTAI,FTAI Aviation Ltd.,Buy,3.95,D+,A,A,A,A-,Strong Buy,+40.9%,57.0%,,0.84
Power,DY,"Dycom Industries, Inc.",Industrials,Hold,3.11,C+,B-,C+,B+,B+,Strong Buy,+29.2%,FSI-SM,VRT,Vertiv Holdings Co,Buy,3.91,D,A,A-,A+,A-,Strong Buy,+0.9%,9.0%,,0.80
Power,GM,General Motors Company,Consumer Cyclical,Hold,3.10,B+,D+,C-,B+,A,Buy,+29.4%,,TPR,"Tapestry, Inc.",Buy,3.92,D+,A,A,A+,A-,Buy,+12.3%,110.0%,,0.83
Power,GM,General Motors Company,Consumer Cyclical,Hold,3.10,B+,D+,C-,B+,A,Buy,+29.4%,,HAS,"Hasbro, Inc.",Buy,3.85,C-,A,B,A,A,Buy,+19.5%,297.0%,,0.75
Power,GM,General Motors Company,Consumer Cyclical,Hold,3.10,B+,D+,C-,B+,A,Buy,+29.4%,,SON,Sonoco Products Company,Buy,3.81,A-,A,B-,A,C-,Buy,+22.8%,402.0%,,0.72
Power,EAT,"Brinker International, Inc.",Consumer Cyclical,Hold,3.21,B-,B,B+,B,C,Buy,+36.3%,,TPR,"Tapestry, Inc.",Buy,3.92,D+,A,A,A+,A-,Buy,+12.3%,110.0%,,0.71
Power,EAT,"Brinker International, Inc.",Consumer Cyclical,Hold,3.21,B-,B,B+,B,C,Buy,+36.3%,,HAS,"Hasbro, Inc.",Buy,3.85,C-,A,B,A,A,Buy,+19.5%,297.0%,,0.63
