ticker,name,sector,industry,quant_rating,quant_score,val_grade,growth_grade,profit_grade,mom_grade,rev_grade,val_s,growth_s,profit_s,mom_s,rev_s,analyst_label,num_analysts,upside,div_yield,price,market_cap,pe_ttm,pe_fwd,rev_growth,earn_growth,roe,net_margin,mom_3m,mom_6m,mom_12m
ECPG,"Encore Capital Group, Inc.",Financial Services,Credit Services,Buy,4.290054937917313,A-,A+,A-,A+,C+,83.25500736608278,95.98393574297188,81.6886558379266,98.80000000000001,35.77235772357724,Buy,3,23.47523525018669,0.0,66.95,1493231104.0,6.136572,5.0131035,0.783,,0.29452,0.1452,21.001261132117733,51.12867077431209,
EIX,Edison International,Utilities,Utilities - Regulated Electric,Buy,4.2228285153381595,A,A+,A,A+,F,89.57607636859537,97.24358974358975,94.0,96.61016949152543,1.694915254237288,Hold,13,3.3626691093573857,4.91,70.96,27304763392.0,6.1437225,10.878496,0.308,4.463,0.24103001,0.23083,25.247497169401733,30.041672643830108,
SSRM,SSR Mining Inc.,Basic Materials,Gold,Buy,4.178497456070772,B,A+,A-,A-,A-,64.088723104737,97.91666666666667,76.2861491628615,82.01103500761035,75.34246575342466,Strong Buy,5,37.42789277231082,0.0,29.47,5992025600.0,15.929729,6.578125,0.614,29.672,0.087740004,0.24285,38.097468553327005,29.48154527082716,
MU,"Micron Technology, Inc.",Technology,Semiconductors,Buy,4.1667152023479765,C+,A,A-,A+,A-,42.95450941620659,92.77857915614857,76.55425165660976,97.47455944403077,82.27848101265823,Buy,39,3.0764771185395334,0.11,405.35,456225193984.0,38.56803,8.444413,0.567,1.754,0.22554001,0.28146,53.77262551548383,169.48773524747108,
JXN,Jackson Financial Inc.,Financial Services,Insurance - Life,Buy,4.150906885229728,A,A+,C-,A-,A+,92.59782970400617,99.59839357429718,24.41713737541258,81.8,100.0,None,3,19.69566421545221,3.44,104.71,7401100288.0,,3.8820302,7.188,,0.00709,0.004,1.1593061916762348,7.478713386241997,
ADAM,"Adamas Trust, Inc.",Real Estate,REIT - Mortgage,Buy,4.121989774943161,A,A+,B+,A-,C+,89.416668819933,100.0,66.6016811471357,83.88429752066116,39.166666666666664,Buy,6,44.33211125158027,10.88,7.91,715652032.0,7.190909,7.119584,189.636,,0.09689,0.47312,13.351178643081262,16.39207689179978,
CDE,"Coeur Mining, Inc.",Basic Materials,Gold,Buy,4.066874237838742,C+,A+,A,A,B,37.96860819916965,96.73913043478261,94.50152207001523,85.51179604261796,63.013698630136986,Buy,8,32.54956201014292,0.0,21.69,13927096320.0,22.83158,10.737624,1.209,2.466,0.26413,0.28301,35.81715489874184,41.119064160689355,
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas E&P,Buy,3.996795807411287,C-,B,A+,A+,A+,19.901936623608446,62.01298701298701,98.69104579630896,96.75324675324674,97.40259740259741,Hold,2,-15.968769495434533,0.46,528.97,36468011008.0,75.78366,7.2342715,0.139,0.043,0.37152,0.60308,78.00875230196715,69.50921928776022,
ADEA,Adeia Inc.,Technology,Software - Application,Buy,3.9813701511881003,B,A,A,A,C,56.24936552940742,90.43905517490083,89.9563173286936,92.61869304683898,27.004219409282697,Strong Buy,4,32.26934849147354,0.87,22.87,2504498176.0,23.101011,15.28059,0.533,1.067,0.25327,0.25052,69.15679900637298,46.64987853850921,
INDV,"Indivior Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,Buy,3.9725659072141952,B+,A,A,B,B,70.17609778032053,86.09513720742535,89.72222222222223,63.12849162011173,62.22222222222222,Strong Buy,7,51.837783538561254,0.0,30.86,3859513344.0,18.817074,8.982132,0.197,3.762,,0.16949,-12.947815695784094,29.22948527863065,
ARR,"ARMOUR Residential REIT, Inc.",Real Estate,REIT - Mortgage,Buy,3.9597034752097806,A-,N/A,A,A-,C+,83.03469731260058,,85.74556756374938,79.75206611570248,36.666666666666664,Buy,4,6.260769672601962,16.54,17.41,2078491392.0,5.275758,5.537972,,,0.17816,0.85494006,7.9564141481460515,24.497549699567124,
